(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Session Percentage - Total,Page Views - Total,Page Views Percentage - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Unit Session Percentage,Ordered Product Sales,Total Order Items
B0DFZPS358,B0192RAJLQ,"Vaseline Lip Therapy, Rosy Lips, 0.6Oz 10305210536491",ARBMD29296703,29,25.00%,41,25.79%,100.00%,2,6.90%,EGP 336.18,2
B08B9TMWFB,B08B9TMWFB,Crest cavity protection calci-dent fresh toothpaste - 125 ml,ARBA04534,6,5.17%,8,5.03%,100.00%,2,33.33%,EGP 340.00,2
B09WM1FB21,B08WJM9RMS,Starky natural scrub cream with dea sea mud for face and body - 300 ml,ARBCC932726,2,1.72%,2,1.26%,100.00%,2,100.00%,EGP 79.56,2
B091D4QM8L,B091D4QM8L,Skylark Wooden Foot File,02ARBS086G001174,9,7.76%,9,5.66%,100.00%,2,22.22%,EGP 92.00,2
B096CVPN94,B096CVPN94,Wood Hair Dryer Brush in Brown,BCSC0003,29,25.00%,41,25.79%,100.00%,3,10.34%,EGP 307.47,2
B0FQK112TF,B0FQK112TF,"Star-Shaped Hair Clips Set, 3.3 cm, Multi-Coloured Non-Slip Barrettes, 6 Pieces",BU-914O-72O5,7,6.03%,9,5.66%,100.00%,2,28.57%,EGP 129.44,2
B084JQP9GC,B084JQP9GC,LANEIGE Mini Lip Sleeping Mask - 3g,01ARBS085B701619,15,12.93%,20,12.58%,11.76%,1,6.67%,EGP 101.92,1
B089NNXRLL,B089NNXRLL,"Mahabhringraj - ayurvedic hair oil, 100ml",ARBA041755,4,3.45%,5,3.14%,0.00%,1,25.00%,EGP 278.00,1
B091JHQCFY,B091JHQCFY,Magic tooth powder,ARBA04B831722,6,5.17%,12,7.55%,60.00%,3,50.00%,EGP 575.19,1
B0FVVZXM7L,B0FVVY1JW5,"16cm Premium Granite Non-Stick Frying Pan - Heavy Duty Speckled Coating Stone Pan - Heat-Resistant Ergonomic Handle - Durable Professional Cookware for Eggs, Pancakes & Small Meals (Black)",GI-YM9X-PNSF,2,1.72%,2,1.26%,100.00%,1,50.00%,EGP 219.06,1
B0FVYCWJ2V,B0FVYCWJ2V,"Elegant Transparent Borosilicate Glass Teapot 1.5L with Bamboo Lid – Heat Resistant Tea Pot for Hot & Cold Drinks, Loose Leaf Brewing, Stylish Serving Design.",YW-HHWX-8L4F,2,1.72%,4,2.52%,100.00%,1,50.00%,EGP 390.59,1
B0GM77WKN9,B0GM773WB1,"Silver Stainless Steel Cooking & Serving Pan 28cm – Professional Frying Wok with Double Handles, Durable Brushed Finish, Imported Premium Cookware.",WW-5OZW-SA90,5,4.31%,6,3.77%,100.00%,1,20.00%,EGP 323.88,1